"CALL #(ITEM)","TOT CHKOUT","INTL USE "
"PQ7392.J67 C8 2006","1","0"
"PT2685.E525 E757 2008","0","0"
"PQ7392.T65 C35 2006","1","0"
"PQ7499.3.O355 Y6 2007","0","0"
"PQ7392.R63 G87 2006","1","0"
"PT2685.O45 L54 2008","0","0"
"PG3482.8.U6768 Z34 2008","0","0"
"PT2621.U665 A97 2008","0","0"
"PT2668.O3 W37 2006","0","0"
"PG3482.S2127 O15 2007","1","0"
"PQ7390.G76 I85 2006","0","0"
"PQ8520.424.A63 I47 2005","1","0"
"PQ8098.23.E684 A67 2007","1","0"
"P945 .A2 2007","0","1"
"PQ7509.3.O78 A64 2005","1","0"
"PQ7392.G87 C66 2006","2","0"
"P945 .A2 2007b","0","1"
"P945 .R67 2006","0","0"
"PG8206 .S66 2005","1","1"
"PQ7409.2.P399 C46 2007","2","0"
"PQ7390.H383 C75 2006","1","0"
"PN4878.5 .A72 2007","0","0"
"PT2685.A48 W56 2007","0","0"
"PT2623.E583 S39 2008","0","0"
"PQ2605.O24 Z66 2006","0","0"
"DT325.92.O67 A3 2005","0","0"
"BS1238.B2 C65 1997","0","0"
"PT2678.O74 O77 2008","0","0"
"PT2674.I9 Z46 2008","0","0"
"PT2603.E43 S3 2008","0","0"
"E444 .N87 2007","15","2"
"HT145.R9 K86 2007","1","0"
"PQ8550.43.O257 A55 2006","1","0"
"P94 .M37 2007","0","0"
"PQ2678.O4155 S8513 2008","0","0"
"DC123.9.M27 L49 2007","0","0"
"PT2661.M16 S664 2007","0","0"
"PN75.F7 A5 2008","0","0"
"PG3482.7.K593 S44 2008","0","0"
"PT2661.M16 A636 2007","0","0"
"E271 .P27 2008","14","2"
"F3001.9.W64 C74 2007","3","0"
"HQ1421 .S75 2008","0","2"
"PQ7798.417.O58 A74 2007","0","0"
"P35 .I36 2007","0","0"
"HQ1767 .S56 2006","1","0"
"HD4465.R8 V63 2004","1","0"
"R154.C46 A3 2007","1","0"
